sensor_id,location_id,country_code,parameter_id,parameter,units,is_monitor
6,3,GH,1,pm10,µg/m³,True
5,3,GH,2,pm25,µg/m³,True
7,4,GH,1,pm10,µg/m³,True
8,4,GH,2,pm25,µg/m³,True
10,5,GH,1,pm10,µg/m³,True
9,5,GH,2,pm25,µg/m³,True
11,6,GH,1,pm10,µg/m³,True
12,6,GH,2,pm25,µg/m³,True
14,7,GH,1,pm10,µg/m³,True
13,7,GH,2,pm25,µg/m³,True
16,8,GH,1,pm10,µg/m³,True
15,8,GH,2,pm25,µg/m³,True
17,9,GH,1,pm10,µg/m³,True
18,9,GH,2,pm25,µg/m³,True
20,10,GH,1,pm10,µg/m³,True
19,10,GH,2,pm25,µg/m³,True
22,11,GH,1,pm10,µg/m³,True
21,11,GH,2,pm25,µg/m³,True
23,12,IN,2,pm25,µg/m³,True
13866,13,IN,5,no2,µg/m³,True
24,13,IN,3,o3,µg/m³,True
13864,13,IN,2,pm25,µg/m³,True
25,14,AR,2,pm25,µg/m³,True
27,15,IN,4,co,µg/m³,True
28,15,IN,5,no2,µg/m³,True
29,15,IN,3,o3,µg/m³,True
26,15,IN,1,pm10,µg/m³,True
30,15,IN,2,pm25,µg/m³,True
33,16,IN,4,co,µg/m³,True
32,16,IN,5,no2,µg/m³,True
31,16,IN,1,pm10,µg/m³,True
34,16,IN,2,pm25,µg/m³,True
12234782,17,IN,102,co,ppb,True
392,17,IN,4,co,µg/m³,True
12234783,17,IN,24,no,ppb,True
36,17,IN,5,no2,µg/m³,True
12234784,17,IN,15,no2,ppb,True
14340713,17,IN,23,nox,ppb,True
394,17,IN,3,o3,µg/m³,True
12234785,17,IN,3,o3,µg/m³,True
399,17,IN,1,pm10,µg/m³,True
12234786,17,IN,1,pm10,µg/m³,True
35,17,IN,2,pm25,µg/m³,True
12234787,17,IN,2,pm25,µg/m³,True
12234788,17,IN,98,relativehumidity,%,True
393,17,IN,6,so2,µg/m³,True
12234789,17,IN,101,so2,ppb,True
12234790,17,IN,100,temperature,c,True
14340714,17,IN,22,wind_direction,deg,True
14340715,17,IN,34,wind_speed,m/s,True
37,18,VN,2,pm25,µg/m³,True
5136,19,MN,4,co,µg/m³,True
5137,19,MN,5,no2,µg/m³,True
38,19,MN,3,o3,µg/m³,True
5138,19,MN,1,pm10,µg/m³,True
5139,19,MN,2,pm25,µg/m³,True
5140,19,MN,6,so2,µg/m³,True
40,21,CN,2,pm25,µg/m³,True
41,22,BD,2,pm25,µg/m³,True
68,23,MN,4,co,µg/m³,True
5177,23,MN,5,no2,µg/m³,True
